"INSPECTION_TYPE","TARGET_TYPE","INSPECTION_RESULT","INSPECTION_REASON","INSPECTION_MONTH","INSPECTION_WEEKDAY","RISK_LEVEL"
EQUIPMENT,EQUIPMENT,주간 정기점검 완료,"10","05","2",NORMAL
EQUIPMENT,EQUIPMENT,주간 정기점검 완료,"10","05","2",NORMAL
EQUIPMENT,EQUIPMENT,주간 정기점검 완료,"10","05","2",NORMAL
EQUIPMENT,EQUIPMENT,주간 정기점검 완료,"10","05","2",NORMAL
EQUIPMENT,EQUIPMENT,주간 정기점검 완료,"10","05","2",NORMAL
EQUIPMENT,EQUIPMENT,주간 정기점검 완료,"10","05","2",NORMAL
EQUIPMENT,EQUIPMENT,주간 정기점검 완료,"10","03","2",NORMAL
EQUIPMENT,EQUIPMENT,주간 정기점검 완료,"10","03","2",NORMAL
EQUIPMENT,EQUIPMENT,긴급점검: 생산 지연 발생일 설비 이상 확인,"30","02","2",RISK
EQUIPMENT,EQUIPMENT,긴급점검: 생산 지연 발생일 설비 이상 확인,"30","02","2",RISK
EQUIPMENT,EQUIPMENT,긴급점검: 생산 지연 발생일 설비 이상 확인,"30","02","2",RISK
EQUIPMENT,EQUIPMENT,긴급점검: 생산 지연 발생일 설비 이상 확인,"30","02","2",RISK
EQUIPMENT,EQUIPMENT,긴급점검: 생산 지연 발생일 설비 이상 확인,"30","02","2",RISK
EQUIPMENT,EQUIPMENT,긴급점검: 생산 지연 발생일 설비 이상 확인,"30","12","2",RISK
EQUIPMENT,EQUIPMENT,긴급점검: 생산 지연 발생일 설비 이상 확인,"30","12","2",RISK
EQUIPMENT,EQUIPMENT,소모품 교체 및 예방정비 완료,"20","12","2",WARNING
EQUIPMENT,EQUIPMENT,긴급점검: 생산 지연 발생일 설비 이상 확인,"30","12","2",RISK
EQUIPMENT,EQUIPMENT,월간 정기점검 완료,"10","02","1",NORMAL
EQUIPMENT,EQUIPMENT,긴급점검: 생산 지연 발생일 설비 이상 확인,"30","12","2",RISK
EQUIPMENT,EQUIPMENT,소모품 교체 및 예방정비 완료,"20","08","2",WARNING
EQUIPMENT,EQUIPMENT,주간 정기점검 완료,"10","09","2",NORMAL
EQUIPMENT,EQUIPMENT,긴급점검: 생산 지연 발생일 설비 이상 확인,"30","07","2",RISK
