"IO_TYPE","IO_REASON","IO_QTY","LOT_QTY","LOT_FQTY","ITEM_TYPE","ITEM_UNIT_PRICE","STOCK_PREV_QTY","STOCK_AVAIL_QTY","STOCK_RESERVE_QTY","RESERVE_RATE","IO_MONTH","IO_WEEKDAY","RISK_LEVEL"
IN,생산,97475,97475,0,20,70,226216,187441,38775,17.14,"05","6",WARNING
IN,생산,67900,67900,0,20,80,221564,175756,45808,20.67,"05","6",WARNING
IN,생산,10177,10177,0,20,455,20794,17520,3274,15.74,"05","6",WARNING
IN,생산,12523,12523,0,20,455,21710,17156,4554,20.98,"05","7",WARNING
IN,생산,12811,12811,0,20,525,17850,16105,1745,9.78,"05","7",WARNING
IN,생산,8924,8924,0,20,595,17167,15292,1875,10.92,"05","6",WARNING
IN,생산,9558,9558,0,20,475,450470,374442,76028,16.88,"05","7",LOW
IN,생산,11761,11761,0,20,475,442526,344750,97776,22.09,"05","7",LOW
IN,생산,12031,12031,0,20,545,430346,328042,102304,23.77,"05","7",LOW
IN,생산,8144,8380,0,20,615,440790,367894,72896,16.54,"05","7",LOW
OUT,판매,733,885,0,30,4950,43776,36605,7171,16.38,"05","1",LOW
IN,생산,885,885,0,30,4950,43776,36605,7171,16.38,"05","7",LOW
OUT,폐기,152,885,0,30,4950,43776,36605,7171,16.38,"05","6",HIGH
OUT,판매,972,1089,0,30,4950,41184,32896,8288,20.12,"05","3",LOW
IN,생산,1089,1089,0,30,4950,41184,32896,8288,20.12,"05","7",LOW
OUT,폐기,117,1089,0,30,4950,41184,32896,8288,20.12,"05","6",HIGH
OUT,판매,918,1114,0,30,5650,43301,35882,7419,17.13,"05","1",LOW
IN,생산,1114,1114,0,30,5650,43301,35882,7419,17.13,"05","7",LOW
OUT,폐기,196,1114,0,30,5650,43301,35882,7419,17.13,"05","6",HIGH
OUT,판매,640,776,0,30,6350,42284,36873,5411,12.8,"05","6",LOW
IN,생산,776,776,0,30,6350,42284,36873,5411,12.8,"05","7",LOW
OUT,폐기,136,776,0,30,6350,42284,36873,5411,12.8,"05","6",HIGH
IN,생산,48300,48300,0,20,35,229143,194551,34592,15.1,"05","7",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"05","5",LOW
IN,생산,77437,77437,0,20,60,263480,248999,14481,5.5,"05","7",WARNING
IN,구매,500000,500000,0,10,6,673811,609813,63998,9.5,"05","5",LOW
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"05","6",WARNING
IN,생산,95287,95287,0,20,60,230524,211757,18767,8.14,"05","7",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"05","6",LOW
IN,구매,500000,500000,0,10,5,236891,196411,40480,17.09,"05","5",LOW
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"05","6",LOW
IN,생산,97475,97475,0,20,70,226216,187441,38775,17.14,"05","7",WARNING
IN,생산,67900,67900,0,20,80,221564,175756,45808,20.67,"05","7",WARNING
IN,생산,10177,10177,0,20,455,20794,17520,3274,15.74,"05","1",WARNING
IN,생산,12523,12523,0,20,455,21710,17156,4554,20.98,"05","1",WARNING
IN,생산,12452,12811,0,20,525,17850,16105,1745,9.78,"05","1",WARNING
IN,생산,8924,8924,0,20,595,17167,15292,1875,10.92,"05","1",WARNING
IN,생산,9558,9558,0,20,475,450470,374442,76028,16.88,"05","1",LOW
IN,생산,11761,11761,0,20,475,442526,344750,97776,22.09,"05","1",LOW
IN,생산,12031,12031,0,20,545,430346,328042,102304,23.77,"05","1",LOW
IN,생산,8380,8380,0,20,615,440790,367894,72896,16.54,"05","1",LOW
