"LOT_QTY","QC_QTY","ITEM_TYPE","ITEM_QC_TYPE","QC_TYPE","WORK_ORDER_QTY","WORK_WORKER","QC_MONTH","QC_WEEKDAY","INSPECTION_RISK_SCORE","SUMMER_FLAG","WINTER_FLAG","RISK_LEVEL"
7646,7646,20,10,10,7646,EMP1045,"05","5",3,0,0,LOW
7679,7679,20,10,10,7679,EMP1045,"05","5",3,0,0,LOW
10389,10389,20,10,10,10389,EMP1045,"05","6",3,0,0,LOW
1034,1034,30,10,10,1034,EMP1045,"05","6",1,0,0,LOW
708,708,30,10,10,708,EMP1045,"05","6",1,0,0,LOW
711,711,30,10,10,711,EMP1045,"05","6",1,0,0,LOW
962,962,30,10,10,962,EMP1045,"05","5",1,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","6",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","6",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","6",2,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","6",2,0,0,LOW
42689,42689,20,10,10,42689,EMP1048,"05","6",3,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","5",2,0,0,LOW
90475,905,20,20,20,90475,EMP1048,"05","6",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","5",2,0,0,LOW
61950,620,20,20,20,61950,EMP1048,"05","6",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","5",2,0,0,LOW
62214,622,20,20,20,62214,EMP1048,"05","7",4,0,0,LOW
84175,842,20,20,20,84175,EMP1048,"05","6",2,0,0,LOW
11891,11891,20,10,10,11891,EMP1048,"05","6",3,0,0,LOW
8142,8142,20,10,10,8142,EMP1048,"05","6",3,0,0,LOW
8178,8178,20,10,10,8178,EMP1048,"05","6",3,0,0,LOW
11063,11063,20,10,10,11063,EMP1048,"05","6",3,0,0,LOW
11168,11168,20,10,10,11168,EMP1048,"05","7",5,0,0,LOW
7648,7648,20,10,10,7648,EMP1048,"05","7",3,0,0,LOW
7679,7679,20,10,10,7679,EMP1048,"05","7",3,0,0,LOW
10391,10391,20,10,10,10391,EMP1048,"05","7",3,0,0,LOW
1034,1034,30,10,10,1034,EMP1048,"05","6",1,0,0,LOW
708,708,30,10,10,708,EMP1048,"05","7",1,0,0,LOW
711,711,30,10,10,711,EMP1048,"05","7",1,0,0,LOW
962,962,30,10,10,962,EMP1048,"05","6",1,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","1",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","1",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","1",2,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","1",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","4",4,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","4",2,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","4",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","4",2,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","3",2,0,0,LOW
42687,42687,20,10,10,42687,EMP1021,"05","4",3,0,0,MEDIUM
1000000,10000,10,20,20,0,NONE,"05","3",2,0,0,LOW
90475,905,20,20,20,90475,EMP1021,"05","4",2,0,0,LOW
61950,620,20,20,20,61950,EMP1021,"05","5",4,0,0,LOW
62212,622,20,20,20,62212,EMP1021,"05","4",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","3",2,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","2",2,0,0,LOW
84175,842,20,20,20,84175,EMP1021,"05","4",2,0,0,LOW
11891,11891,20,10,10,11891,EMP1021,"05","5",3,0,0,LOW
8142,8142,20,10,10,8142,EMP1021,"05","4",3,0,0,LOW
8176,8176,20,10,10,8176,EMP1021,"05","4",3,0,0,LOW
11063,11063,20,10,10,11063,EMP1021,"05","4",3,0,0,LOW
11167,11167,20,10,10,11167,EMP1021,"05","5",3,0,0,LOW
7646,7646,20,10,10,7646,EMP1021,"05","5",3,0,0,LOW
7679,7679,20,10,10,7679,EMP1021,"05","4",3,0,0,MEDIUM
10389,10389,20,10,10,10389,EMP1021,"05","4",3,0,0,LOW
1034,1034,30,10,10,1034,EMP1021,"05","4",1,0,0,LOW
708,708,30,10,10,708,EMP1021,"05","5",1,0,0,LOW
711,711,30,10,10,711,EMP1021,"05","5",1,0,0,LOW
962,962,30,10,10,962,EMP1021,"05","4",1,0,0,LOW
42687,42687,20,10,10,42687,EMP1045,"05","5",3,0,0,MEDIUM
500000,5000,10,20,20,0,NONE,"05","3",2,0,0,LOW
