"WORK_ORDER_QTY","WORK_PREV_QTY","WORK_STATUS","WORK_WORKER","WORK_DIRECTOR","PLAN_FIN_QTY","PLAN_WP_QTY","ITEM_TYPE","WORK_MONTH","WORK_WEEKDAY","SUMMER_FLAG","WINTER_FLAG","QTY_RISK_SCORE","SEASON_RISK_SCORE","RISK_LEVEL"
14685,14685,30,EMP1004,EMP1043,73428,73428,20,"10","5",0,0,2,0,NORMAL
8110,8110,30,EMP1004,EMP1043,40554,40554,20,"10","5",0,0,2,0,NORMAL
8056,8056,30,EMP1004,EMP1043,40284,40284,20,"10","5",0,0,2,0,NORMAL
11718,11718,30,EMP1004,EMP1043,58590,58590,20,"10","5",0,0,2,0,NORMAL
13791,13791,30,EMP1004,EMP1043,68958,68958,20,"10","5",0,0,2,0,NORMAL
751,751,30,EMP1004,EMP1043,3755,3755,30,"10","5",0,0,0,0,NORMAL
746,746,30,EMP1004,EMP1043,3730,3730,30,"10","5",0,0,0,0,NORMAL
1085,1085,30,EMP1004,EMP1043,5425,5425,30,"10","5",0,0,0,0,NORMAL
1277,1277,30,EMP1004,EMP1043,6385,6385,30,"10","5",0,0,0,0,NORMAL
48237,48237,30,EMP1052,EMP1001,241188,241188,20,"10","6",0,0,2,0,DELAY
65712,65712,30,EMP1052,EMP1001,328563,328563,20,"10","6",0,0,2,0,NORMAL
65275,65275,30,EMP1052,EMP1001,326375,326375,20,"10","6",0,0,2,0,NORMAL
94937,94937,30,EMP1052,EMP1001,474688,474688,20,"10","6",0,0,2,0,NORMAL
111737,111737,30,EMP1052,EMP1001,558688,558688,20,"10","6",0,0,2,0,NORMAL
8636,8636,30,EMP1052,EMP1001,43183,43183,20,"10","6",0,0,2,0,NORMAL
8579,8579,30,EMP1052,EMP1001,42895,42895,20,"10","6",0,0,2,0,NORMAL
12477,12477,30,EMP1052,EMP1001,62388,62388,20,"10","6",0,0,2,0,NORMAL
14685,14685,30,EMP1052,EMP1001,73428,73428,20,"10","6",0,0,2,0,NORMAL
8110,8110,30,EMP1052,EMP1001,40554,40554,20,"10","6",0,0,2,0,NORMAL
8056,8056,30,EMP1052,EMP1001,40284,40284,20,"10","6",0,0,2,0,NORMAL
11718,11718,30,EMP1052,EMP1001,58590,58590,20,"10","6",0,0,2,0,NORMAL
13791,13791,30,EMP1052,EMP1001,68958,68958,20,"10","6",0,0,2,0,NORMAL
751,751,30,EMP1052,EMP1001,3755,3755,30,"10","6",0,0,0,0,NORMAL
746,746,30,EMP1052,EMP1001,3730,3730,30,"10","6",0,0,0,0,NORMAL
1085,1085,30,EMP1052,EMP1001,5425,5425,30,"10","6",0,0,0,0,NORMAL
